,회사,산업,사원수,연봉
0,카카오,포털·컨텐츠·커뮤니티,2746,4159
1,아프리카티비,솔루션·SI·CRM·ERP,500,4085
2,삼성전자,전기·전자·제어,108682,5598
3,애플코리아,전기·전자·제어,130000,3450
4,스타벅스커피코리아,음식료·외식·프랜차이즈,10734,7433
5,네이버,포털·컨텐츠·커뮤니티,2963,5099
6,에스케이하이닉스,전기·전자·제어,28743,5273
7,현대모비스,자동차·조선·철강·항공,10143,6400
8,넷마블,게임·애니메이션,789,4156
9,비지에프,백화점·유통·도소매,2156,4333
10,농협정보시스템,컴퓨터·하드웨어·장비,514,5405
11,LG,자동차·조선·철강·항공,172,3900
12,노브랜드,섬유·의류·패션,350,4100
13,와이지원,금속·재료·자재,1500,3781
14,삼구아이앤씨,시설관리·보안·경비,37000,4225
15,하이트진로,식품가공,2936,5500
16,한국전력공사,공기업·공공기관,22545,4650
17,야놀자,포털·컨텐츠·커뮤니티,500,3613
18,에스엠엔터테인먼트,연예·엔터테인먼트,473,3275
19,삼양식품,식품가공,1728,5780
20,앰코테크놀로지코리아,전기·전자·제어,6071,4290
21,기아자동차,자동차·조선·철강·항공,35343,2100
22,컴퓨존,쇼핑몰·오픈마켓·소셜커머스,411,3259
23,대상,식품가공,5628,5184
24,엔씨소프트,게임·애니메이션,3755,4359
25,구글코리아,포털·컨텐츠·커뮤니티,100,3957
26,엘지이노텍,전기·전자·제어,10709,5179
27,인천국제공항공사,공기업·공공기관,1700,7500
28,케이티비투자증권,증권·보험·카드,410,5762
29,쿠팡,쇼핑몰·오픈마켓·소셜커머스,6372,3810
30,네이버비즈니스플랫폼,네트워크·통신서비스,456,6100
31,LG전자,반도체·디스플레이·광학,40150,5530
32,에스앤아이코퍼레이션,부동산·중개·임대,2048,4376
33,한진,물류·운송·배송,1527,4550
34,LG화학,화학·에너지·환경,19956,5401
35,엘지씨엔에스,컴퓨터·하드웨어·장비,6192,5740
36,한국가스공사,화학·에너지·환경,4267,2300
37,한국관광공사,공기업·공공기관,732,3052
38,할리스에프앤비,음식료·외식·프랜차이즈,1052,4900
39,한국서부발전,전기·전자·제어,2496,5350
40,잡코리아,포털·컨텐츠·커뮤니티,275,3880
41,SK,솔루션·SI·CRM·ERP,4156,6099
42,CJ제일제당,음식료·외식·프랜차이즈,7462,3264
43,한국생명공학연구원,공기업·공공기관,408,3087
44,다스,자동차·조선·철강·항공,1454,5694
45,삼성에스디에스,컴퓨터·하드웨어·장비,12501,6180
46,한국과학기술연구원,공기업·공공기관,805,2883
47,한국국토정보공사,공기업·공공기관,4532,5566
48,삼성바이오로직스,제약·보건·바이오,2884,5600
