,title,description,title_label,description_label
0, 엠트론 아프리카  등  한파 뚫고 신입채용 계속,이르면 내달부터 신입사원으로서 입사가 가능한 만큼  취업준비생이라면 연말 접수에 속도를 내볼 것을 추천한다  취업포털 인크루트가 이달 모집중인 주요기업 대졸신입 및 인턴 채용소식을  일 안내한다  먼저 ,1,1
1, 학과 학과 신입생 선호도 건대 화공  취업률은 경희대 앞서,대학 간 비교 시에는 졸업 후 취업률  중도탈락률  신입생 충원율 등 정량 지표를 주로 활용  객관성을 유지할 계획이다  수험생에게 어느 한 쪽으로 치우치지 않는 정보를 제공해 대학 선택에 도움을 주기 위해서다 ,1,0
2,한국공항공사  신입사원 채용   비대면 화상면접 실시,정규직 신입사원 선발을 위한   비대면 화상면접을 진행한다  이는 코로나  확산세가 지속되고 있는  얼어붙은 이때 한국공항공사가 취업준비생들에게 도움이 될 수 있도록 최선을 다할 계획 이라고 밝혔다 ,1,1
3, 대  뚫고도  년째 입사대기 제주항공 신입  명의 눈물, 는  제주항공에서 언제 부를지 모르고  고용 한파가 부는 상황에서 다시 취업 전선에 뛰어들기도 막막하다 며  지난해 비슷한 시기에 채용된 아시아나항공의 신입 인력은 입사 후 휴직으로 전환됐다  그들처럼 ,1,1
4,선문대  신입생 대상  언택트 예비 대학  운영,예비 신입생들은 교수와 선배로부터 학과 교과 과정  진로  취업 등에 대한 조언을 얻을 수 있다  또 학과 교수가 직접 참여하는 일대일 실시간 상담을 통해 입학부터 대학 생활  졸업 후 취업까지 궁금한 점을 상담받을 수 ,0,1
5,호원대 취업지원실  진로또래멘토링 수기 공모전 시상식 개최,고재선 취업지원실장 소방안전학과 교수 은  코로나 로 다양한 학교생활을 경험하지 못한 신입생들에게 많은 도움이 됐을 것이다  재학생들이 지지적인 관계를 형성하고 진로 고민을 나눌 방안을 계속해서 모색할 것 ,0,0
6, 라방  사옥투어  아바타 인증샷 빅테크  신입 환영법  독특,신종 코로나바이러스 감염증 코로나  확산이 신입사원 교육 방식도 바꾸고 있다  지난  월 이후 취업자 수가  개월 연속 줄어들 정도로 채용시장은 꽁꽁 얼어붙었지만  네이버 카카오  등 국내 주요  기업의 경우 ,0,1
7,건설업계  연말 막바지 채용 대림 서한 등 신입 경력모집  , 일 건설취업플랫폼 건설워커에 따르면 대림건설  서한  대방건설  서한  에스엠상선 건설부문 등이 채용을  대방건설이 신입 및 경력사원을 모집한다  모집부문은 관리  건축  주택 등이며  일까지 회사 채용 ,0,1
8,충남도립대 충남개발공사 취업 간담회,충남도립대학교 취창업센터는  일 충남개발공사 신입사원으로부터 공공기관 취업 성공 노하우를 배우기 위한  공공기관 취업 성공 간담회 를 개최했다고 밝혔다  이번 간담회에는 충남도립대학교 재학생  명과 ,0,0
9,국제대  대학발전위원회 신입위원 위촉장 수여식 진행,국제대가  일 교내 중회의실에서 대학발전위원회 신입위원 위촉장 수여식과 장학금 기탁식을 진행했다  국제대도 이런 감사함을 잊지 않고 지역 동반성장 파트너  전인적 취업교육 동반 대학으로 성장할 수 있도록 ,0,0
