,title,title_label,description,description_label
0, 학과 학과 신입생 선호도 건대 화공  취업률은 경희대 앞서,1,대학 간 비교 시에는 졸업 후 취업률  중도탈락률  신입생 충원율 등 정량 지표를 주로 활용  객관성을 유지할 계획이다  수험생에게 어느 한 쪽으로 치우치지 않는 정보를 제공해 대학 선택에 도움을 주기 위해서다 ,0
1,호원대 취업지원실  진로또래멘토링 수기 공모전 시상식 개최,0,고재선 취업지원실장 소방안전학과 교수 은  코로나 로 다양한 학교생활을 경험하지 못한 신입생들에게 많은 도움이 됐을 것이다  재학생들이 지지적인 관계를 형성하고 진로 고민을 나눌 방안을 계속해서 모색할 것 ,0
2,충남도립대 충남개발공사 취업 간담회,0,충남도립대학교 취창업센터는  일 충남개발공사 신입사원으로부터 공공기관 취업 성공 노하우를 배우기 위한  공공기관 취업 성공 간담회 를 개최했다고 밝혔다  이번 간담회에는 충남도립대학교 재학생  명과 ,0
3,국제대  대학발전위원회 신입위원 위촉장 수여식 진행,0,국제대가  일 교내 중회의실에서 대학발전위원회 신입위원 위촉장 수여식과 장학금 기탁식을 진행했다  국제대도 이런 감사함을 잊지 않고 지역 동반성장 파트너  전인적 취업교육 동반 대학으로 성장할 수 있도록 ,0
4,한뷰전  글로벌 뷰티아티스트 양성을 위한  학년도 신입생 모집,0, 학년도 신입생은 전원 장학금 혜택을 받고 입학한 것으로 알려져 있다  또한 전국  여개 매장을 보유하고 있는 유명프랜차이즈인 박준 뷰티랩의 박준 회장을 석좌교수로 임명해 교육연계 및 취업연계까지 진행하며 ,0
5,국제대 대학발전위원회  신입위원 위촉장 수여식 가져,0,국제대가 지난  일 대학발전위원회 신입위원 위촉장 수여식  장학금 기탁식을 갖고 기념사진을 촬영하고  잊지 않고 지역 동반성장 파트너  전인적 취업교육 동반 대학으로 성장할 수 있도록 최선을 다하겠다 고 전했다 ,0
6, 대학소식 대구공대  신입생 대상 진로특강 등,1,대구공업대학교 메이크업분장예술과는 신입생을 대상으로 한 진로특강을 개최했다고  일 밝혔다  이번   대구공대 취업특강 대구공업대학교 메이크업분장예술과는 학과 재학생을 대상으로 한 취업특강을 ,0
7,용인송담대  지역청년 지원 취업 프로그램 진행,0,용인송담대학교 대학일자리센터는 최근 백암고등학교와 함께 대학교 비진학 학생을 대상으로  신입사원 직장예절  취업역량강화 특강을 실시했다고  일 밝혔다  이번 특강은 직장의 이해  직장생활 대화  보고 ,0
8,장안대   하반기 취업스킬 경진대회  개최,0,  하반기 취업스킬 경진대회는 신입생을 제외한  학년부터  학년까지 재학중인 학생들을 대상으로 코로나  확산으로 변화된 비대면 채용절차를 체험할 기회를 제공하고 취업 자신감을 높여 구직기술과 취업역량을 ,0
9,신입 경력 채용  에스엘 동우화인켐 삼양식품 잡코리아 등 ,0,연말을 앞두고 올해 안에 신입 및 경력직 직원을 모집하는 기업이 있어 잡코리아가 소개하고자 한다   일 취업 플랫폼 잡코리아에 따르면  에스엘  현대건설  동우화인켐  삼양식품은  신입 및 경력직 직원을 모집 ,0
10,현대건설  교육운영 영상제작 분야 신입 경력직 채용,0,현대건설이 현대건설기술교육원에서 근무할 신입 및 경력사원 채용을 진행한다   일 건설취업플랫폼 건설워커에 따르면  이번 채용의 모집분야는 교육운영관리와 영상제작관리로 나뉜다  교육운영관리 직무는 ,0
11,장안대   하반기 취업스킬 경진대회  개최,0,  하반기 취업스킬 경진대회는 신입생을 제외한  학년부터  학년까지 재학중인 학생들을 대상으로 코로나  확산으로 변화된 비대면 채용절차를 체험할 기회를 제공하고 취업 자신감을 높여 구직기술과 취업역량을 ,0
12,숭실사이버대  공학과  정보보안전공 취업 커리큘럼 운영 실무 중심 교육 실현,1,실무 중심 커리큘럼으로 사이버 보안을 책임지는 스마트 정보화 시대 인재를 배출하고 있는 숭실사이버대학교  공학과에서는  학년도  학기 신입생 및 편입생 모집을 진행하고 있다  자세한 모집요강은 학교 ,0
13, 학과 학과 경희대 수학과  서울시립대보다 취업률 높아,0,대학 간 비교 시에는 졸업 후 취업률  중도탈락률  신입생 충원율 등 정량 지표를 주로 활용  객관성을 유지할 계획이다  수험생에게 어느 한 쪽으로 치우치지 않는 정보를 제공해 대학 선택에 도움을 주기 ,0
