,title,title_label,description,description_label
0, 엠트론 아프리카  등  한파 뚫고 신입채용 계속,1,이르면 내달부터 신입사원으로서 입사가 가능한 만큼  취업준비생이라면 연말 접수에 속도를 내볼 것을 추천한다  취업포털 인크루트가 이달 모집중인 주요기업 대졸신입 및 인턴 채용소식을  일 안내한다  먼저 ,1
1,한국공항공사  신입사원 채용   비대면 화상면접 실시,1,정규직 신입사원 선발을 위한   비대면 화상면접을 진행한다  이는 코로나  확산세가 지속되고 있는  얼어붙은 이때 한국공항공사가 취업준비생들에게 도움이 될 수 있도록 최선을 다할 계획 이라고 밝혔다 ,1
2, 대  뚫고도  년째 입사대기 제주항공 신입  명의 눈물,1, 는  제주항공에서 언제 부를지 모르고  고용 한파가 부는 상황에서 다시 취업 전선에 뛰어들기도 막막하다 며  지난해 비슷한 시기에 채용된 아시아나항공의 신입 인력은 입사 후 휴직으로 전환됐다  그들처럼 ,1
3,선문대  신입생 대상  언택트 예비 대학  운영,0,예비 신입생들은 교수와 선배로부터 학과 교과 과정  진로  취업 등에 대한 조언을 얻을 수 있다  또 학과 교수가 직접 참여하는 일대일 실시간 상담을 통해 입학부터 대학 생활  졸업 후 취업까지 궁금한 점을 상담받을 수 ,1
4, 라방  사옥투어  아바타 인증샷 빅테크  신입 환영법  독특,0,신종 코로나바이러스 감염증 코로나  확산이 신입사원 교육 방식도 바꾸고 있다  지난  월 이후 취업자 수가  개월 연속 줄어들 정도로 채용시장은 꽁꽁 얼어붙었지만  네이버 카카오  등 국내 주요  기업의 경우 ,1
5,건설업계  연말 막바지 채용 대림 서한 등 신입 경력모집  ,0, 일 건설취업플랫폼 건설워커에 따르면 대림건설  서한  대방건설  서한  에스엠상선 건설부문 등이 채용을  대방건설이 신입 및 경력사원을 모집한다  모집부문은 관리  건축  주택 등이며  일까지 회사 채용 ,1
6,선문대 예비 신입생과 실시간 대화 나눈다 이색적인 언택트 예비대학 눈길,1, 일에는 학과 존의 시간으로 예비 신입생들은 학과의 교과과정  진로  취업 등에 대해 교수와 선배로부터 생생한 정보를 전달 받을 수 있다  특히 학과교수가 직접 참여하는 일대일 실시간 상담을 통해 입학에서부터 ,1
7, 기고 맞춤형  일학습병행  코로나 시대 취업 뽀개기,0,신입사원 중  년 이내 퇴사 비율은 약  에 이르며   년 이상 재직한 비율은 약   수준이다 이러한 현실 속에서 고교 재학 중 기업에 채용되어 전문학사 취득까지 선취업 후학습으로 이어지는  일학습병행 에 참여하는 ,1
8, 저축  대졸신입 수시채용에 비대면 화상면접 도입,0, 저축은행이 대졸신입 수시채용에 비대면 화상 면접 제도를 도입했다고  일 밝혔다  이번 전형은 신종  있어 취업을 준비하는 분들이 어려움을 겪고 있다 며  앞으로도 새로운 채용 시스템 도입을 통해 효율성과 ,1
9, 번을 두드려도 안 열린 취업 문 그래도 취준생인 게 감사  왜 ,1,지난달 취업포털 인크루트가 내놓은 관련 조사 결과를 보겠습니다  국내 기업의  가 올해 대졸 신입사원을 한 명도 뽑지 않았습니다  뽑았더라도    곳 중  곳은  명 아래였습니다  두 자릿수 채용은   세자릿수 ,1
10,각종 시험 잇단 취소 취업준비생  혼란 ,0,있는 취업 준비생들이 혼란에 빠졌다 사회적 거리두기 조치에 따라 공간내  인 미만으로 수험생을 나눠  반면  기업은행은 고심 끝에  일  천 여명의 응시자를 대상으로  년 하반기 신입 행원 공채 필기시험을 ,1
11,  경제정책방향 청년 일자리  공공기관 신입   이상   일 경험 사업  청년 뽑는다,0,코로나  사태로 취업 기회마저 잃어버린 청년들을 위해 정부는 먼저 직무 경험을 한 뒤 취업으로 이어질 수 있는  고용 사다리 를 놓겠다는 취지다   일 정부가 발표한  년 경제정책방향에 따르면 청년 일 경험 ,1
12,세상을  이미  바꾼  교육 장애학생 취업 돕고  마스크 재고 알리고,1, 소프트웨어 교육을 통해 한 명의 장애 학생이라도 더 취업시키고 싶다   특수 교사는 영광도 없고  제자도  게다가 사업체 측에서 훈련생 신입 직원 훈련용으로 제공했다는 요청을 받기도 했다  그는 단순히  로 현장 ,1
13, 기업 연계한 맞춤교육으로 취업률   해외 일자리 기회도   현장르포 ,0,이 학교가 가진 장점은 연계기업을 통한 높은 취업률과 더불어 진학 역시 가능하다는 점이다  특히 취업 후  신입사원의 경우 중국 미국 등 해외 지점 계열사에서  개월 간 해외연수 기회가 주어진다  아진산업에 ,1
14,숭실대 글로벌미래교육원  지방학생 인터넷접수   면접전형 신입생 선발,0,학교에서는 현재 많은 수험생들이  학년도  학기 입학을 위해 지원 중이며 신입생들에게 프리미엄 교육과정을 제공하고 재학 중 현장실습  자격증 취득  취업 특강  포트폴리오 구축 등 기업들이 원하는 스펙을 갖춘 ,1
15,에듀윌 취업   기업은행   봉투모의고사  베스트셀러  위 유지 이해하기 쉬운 체계적인 구성이 장점 ,0, 일   기업은행 하반기 신입행원 정규직 공채 필기시험이 취준생들의 관심을 받고 있는 가운데 종합교육기업 에듀윌 대표 박명규  취업이 선보인   하반기 에듀윌  기업은행   봉투모의고사  회  교재가 ,1
16,동강대 취업스킬 기업 탐방  눈길 ,1,앞서 동강대는 전기과 등  개과  학년 신입생을 대상으로  픽미업 아카데미 를 진행했다  학생들의 취업 목표 설정과 전략적 취업 계획 수립 방법을 안내했고 특히 지식과 기술  태도 등의 분야에서   직무역량을 ,1
17, 생생경제   경계성청년은 신입사원 같은사람  조금만 이해해주고 기다려주세요 ,1, 생생경제   경계성청년은 신입사원 같은사람조금만 이해해주고 기다려주세요    김혜민  이하 김혜민  취업을 한 거네요  얼마나 일했어요    김정준   년 말부터 일했으니까  년 정도 되었다고 생각하시면 될 것 ,1
18,내년에도 취업은  흐림  전망  못 따라오는 고용지표,1,정부가 내년 취업자 수 증가폭이  만 명대에 그칠 것으로 전망했다  올 한 해 신종 코로나바이러스 감염증  기업 입장에서는 경영상 어려움에서 막 빠져나온 시점에 기존 직원을 복직시키면서 동시에 굳이 신입 ,1
